2019-10-29 11:15:42 status unpacked libpangocairo-1.0-0:amd64 1.40.5-1
2019-10-29 11:15:42 install librsvg2-2:amd64 <none> 2.40.16-1+b1
2019-10-29 11:15:42 status half-installed librsvg2-2:amd64 2.40.16-1+b1
2019-10-29 11:15:42 status unpacked librsvg2-2:amd64 2.40.16-1+b1
2019-10-29 11:15:42 status unpacked librsvg2-2:amd64 2.40.16-1+b1
2019-10-29 11:15:42 install librsvg2-common:amd64 <none> 2.40.16-1+b1
2019-10-29 11:15:42 status half-installed librsvg2-common:amd64 2.40.16-1+b1
2019-10-29 11:15:42 status unpacked librsvg2-common:amd64 2.40.16-1+b1
2019-10-29 11:15:42 status unpacked librsvg2-common:amd64 2.40.16-1+b1
2019-10-29 11:15:43 install adwaita-icon-theme:all <none> 3.22.0-1+deb9u1
2019-10-29 11:15:43 status half-installed adwaita-icon-theme:all 3.22.0-1+deb9u1
2019-10-29 11:15:44 status unpacked adwaita-icon-theme:all 3.22.0-1+deb9u1
2019-10-29 11:15:44 status unpacked adwaita-icon-theme:all 3.22.0-1+deb9u1
2019-10-29 11:15:44 install libatspi2.0-0:amd64 <none> 2.22.0-6+deb9u1
2019-10-29 11:15:44 status half-installed libatspi2.0-0:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:44 status unpacked libatspi2.0-0:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:44 status unpacked libatspi2.0-0:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:44 install libxi6:amd64 <none> 2:1.7.9-1
2019-10-29 11:15:44 status half-installed libxi6:amd64 2:1.7.9-1
2019-10-29 11:15:44 status unpacked libxi6:amd64 2:1.7.9-1
2019-10-29 11:15:44 status unpacked libxi6:amd64 2:1.7.9-1
2019-10-29 11:15:44 install x11-common:all <none> 1:7.7+19
2019-10-29 11:15:44 status half-installed x11-common:all 1:7.7+19
2019-10-29 11:15:45 status unpacked x11-common:all 1:7.7+19
2019-10-29 11:15:45 status unpacked x11-common:all 1:7.7+19
2019-10-29 11:15:45 install libxtst6:amd64 <none> 2:1.2.3-1
2019-10-29 11:15:45 status half-installed libxtst6:amd64 2:1.2.3-1
2019-10-29 11:15:45 status unpacked libxtst6:amd64 2:1.2.3-1
2019-10-29 11:15:45 status unpacked libxtst6:amd64 2:1.2.3-1
2019-10-29 11:15:45 install at-spi2-core:amd64 <none> 2.22.0-6+deb9u1
